 EQUATION NUMBER
 ---------------------
     node   dof    eqn
   33    1.039E+00  1.970E+00
   34    1.183E+00  2.863E+00
   35    1.188E+00  4.009E+00
   36    1.016E+00  5.434E+00
   37    6.278E-01  7.155E+00
   38   -6.806E-03  9.180E+00
   39   -9.171E-01  1.151E+01
   40   -2.128E+00  1.415E+01
   41   -3.653E+00  1.705E+01
   42   -5.468E+00  2.015E+01
   43    0.000E+00  0.000E+00
   44    2.630E-01  3.715E-01
   45    5.325E-01  7.850E-01
   46    7.717E-01  1.310E+00
   47    9.379E-01  2.005E+00
   48    9.886E-01  2.918E+00
   49    8.859E-01  4.082E+00
   50    5.974E-01  5.520E+00
   51    9.561E-02  7.248E+00
   52   -6.430E-01  9.275E+00
   53   -1.639E+00  1.161E+01
   54   -2.905E+00  1.424E+01
   55   -4.441E+00  1.714E+01
   56   -6.210E+00  2.024E+01
   57    0.000E+00  0.000E+00
   58    2.600E-01  3.570E-01
   59    5.010E-01  7.695E-01
   60    6.842E-01  1.307E+00
   61    7.692E-01  2.024E+00
   62    7.198E-01  2.960E+00
   63    5.060E-01  4.145E+00
   64    1.040E-01  5.598E+00
   65   -5.052E-01  7.334E+00
   66   -1.337E+00  9.366E+00
   67   -2.404E+00  1.170E+01
   68   -3.710E+00  1.433E+01
   69   -5.241E+00  1.723E+01
   70   -6.961E+00  2.034E+01
   71    0.000E+00  0.000E+00
   72    2.370E-01  3.314E-01
   73    4.307E-01  7.403E-01
   74    5.415E-01  1.292E+00
   75    5.330E-01  2.032E+00
   76    3.761E-01  2.994E+00
   77    4.920E-02  4.200E+00
   78   -4.633E-01  5.669E+00
   79   -1.173E+00  7.416E+00
   80   -2.088E+00  9.454E+00
   81   -3.212E+00  1.179E+01
   82   -4.543E+00  1.442E+01
   83   -6.058E+00  1.732E+01
   84   -7.726E+00  2.044E+01
   85    0.000E+00  0.000E+00
   86    1.936E-01  2.982E-01
   87    3.208E-01  7.035E-01
   88    3.425E-01  1.271E+00
   89    2.282E-01  2.037E+00
